Patient ID: 3, Timestamp: 1715522481205, Label: ECG, Data: -0.42611021997476095
Patient ID: 29, Timestamp: 1715522481207, Label: ECG, Data: -0.02971016454374624
Patient ID: 18, Timestamp: 1715522481213, Label: ECG, Data: 0.7211295704962906
Patient ID: 48, Timestamp: 1715522481210, Label: ECG, Data: 0.28022199235159323
Patient ID: 47, Timestamp: 1715522482188, Label: ECG, Data: -0.2360098332111751
Patient ID: 9, Timestamp: 1715522482190, Label: ECG, Data: -0.5316309435424654
Patient ID: 10, Timestamp: 1715522482190, Label: ECG, Data: -0.5233651430899455
Patient ID: 3, Timestamp: 1715522482206, Label: ECG, Data: -0.5090982835369395
Patient ID: 29, Timestamp: 1715522482207, Label: ECG, Data: 0.44781295885968464
Patient ID: 48, Timestamp: 1715522482211, Label: ECG, Data: -0.0010671047719382973
Patient ID: 23, Timestamp: 1715522482213, Label: ECG, Data: 0.00409831948281259
Patient ID: 18, Timestamp: 1715522482214, Label: ECG, Data: -0.22351786211983876
Patient ID: 26, Timestamp: 1715522482214, Label: ECG, Data: 0.44802352575805415
Patient ID: 14, Timestamp: 1715522483189, Label: ECG, Data: -0.49567715118181255
Patient ID: 45, Timestamp: 1715522483190, Label: ECG, Data: 0.20912972569953342
Patient ID: 21, Timestamp: 1715522483191, Label: ECG, Data: 0.22072526461197964
Patient ID: 47, Timestamp: 1715522483191, Label: ECG, Data: 0.41044632917342677
Patient ID: 24, Timestamp: 1715522483191, Label: ECG, Data: 0.2864687232963592
Patient ID: 12, Timestamp: 1715522483192, Label: ECG, Data: -0.36284300019742755
Patient ID: 9, Timestamp: 1715522483192, Label: ECG, Data: -0.31803231375720453
Patient ID: 10, Timestamp: 1715522483192, Label: ECG, Data: -0.5442369689864804
Patient ID: 28, Timestamp: 1715522483192, Label: ECG, Data: -0.36788177014237206
Patient ID: 4, Timestamp: 1715522483197, Label: ECG, Data: 0.10940414174730742
Patient ID: 16, Timestamp: 1715522483199, Label: ECG, Data: -0.5009430228959483
Patient ID: 46, Timestamp: 1715522483202, Label: ECG, Data: 0.23328790695175122
Patient ID: 3, Timestamp: 1715522483206, Label: ECG, Data: 0.6474361908077888
Patient ID: 44, Timestamp: 1715522483206, Label: ECG, Data: 0.14214590958720563
Patient ID: 30, Timestamp: 1715522483206, Label: ECG, Data: -0.1595398877325035
Patient ID: 29, Timestamp: 1715522483207, Label: ECG, Data: 0.458623119636743
